,Name,Link,Livability,Amenities,Cost of Living,Crime,Employment,Housing,Schools,Weather,Population,Median home value,Cost_of_Living_Info,Crime_Info,Employment_Info,Housing_Info,Schools_Info
15,Stevens Point,https://www.areavibes.com/stevens+point-wi/livability/,75,A+,B+,A-,D-,D,C,F," 26,714"," $123,400",Cost of living is 10% lower than Wisconsin,Total crime is 12% lower than Wisconsin,Household income is 23% lower than Wisconsin,Home value is 26% lower than Wisconsin,HS graduation rate is 3% higher than Wisconsin
16,Denver,https://www.areavibes.com/denver-co/livability/,62,A+,F,F,C,C+,F,D," 663,303"," $292,700",Cost of living is 7% higher than Colorado,Total crime is 41% higher than Colorado,Household income is 10% lower than Colorado,Home value is 11% higher than Colorado,HS graduation rate is 5% lower than Colorado
17,College Park,https://www.areavibes.com/college+park-md/livability/,58,A+,F,F,C-,D,F,C," 31,942"," $269,500",Cost of living is 6% higher than Maryland,Total crime is 36% higher than Maryland,Household income is 15% lower than Maryland,Home value is 7% lower than Maryland,HS graduation rate is 6% lower than Maryland
18,Baton Rouge,https://www.areavibes.com/baton+rouge-la/livability/,66,A+,C+,F,D-,F,B-,B+," 228,694"," $158,400",Cost of living is 3% higher than Louisiana,Total crime is 69% higher than Louisiana,Household income is 12% lower than Louisiana,Home value is 7% higher than Louisiana,HS graduation rate is 8% higher than Louisiana
19,Flint,https://www.areavibes.com/flint-mi/livability/,55,A+,A,F,F,F,F,D-," 98,918"," $30,000",Cost of living is 11% lower than Michigan,Total crime is 108% higher than Michigan,Household income is 50% lower than Michigan,Home value is 77% lower than Michigan,HS graduation rate is 11% lower than Michigan
20,Pittsburg,https://www.areavibes.com/pittsburg-ks/livability/,63,A+,A-,F,D-,F,F,C-," 20,399"," $84,300",Cost of living is 10% lower than Kansas,Total crime is 61% higher than Kansas,Household income is 38% lower than Kansas,Home value is 38% lower than Kansas,HS graduation rate is 1% lower than Kansas
21,New Haven,https://www.areavibes.com/new+haven-ct/livability/,50,A+,F,F,F,F,F,D+," 130,405"," $190,700",Cost of living is 8% lower than Connecticut,Total crime is 143% higher than Connecticut,Household income is 47% lower than Connecticut,Home value is 29% lower than Connecticut,HS graduation rate is 8% lower than Connecticut
22,Stillwater,https://www.areavibes.com/stillwater-ok/livability/,77,A+,B-,B-,D-,F,A+,C-," 48,104"," $157,500",Cost of living is 6% higher than Oklahoma,Total crime is 25% lower than Oklahoma,Household income is 39% lower than Oklahoma,Home value is 30% higher than Oklahoma,HS graduation rate is 11% higher than Oklahoma
23,Irvine,https://www.areavibes.com/irvine-ca/livability/,82,A+,F,A+,B,D+,A+,A+," 246,992"," $718,800",Cost of living is 29% higher than California,Total crime is 53% lower than California,Household income is 47% higher than California,Home value is 76% higher than California,HS graduation rate is 20% higher than California
24,Statesboro,https://www.areavibes.com/statesboro-ga/livability/,66,A+,A,D,F,F,F,B+," 30,597"," $116,600",Cost of living is 11% lower than Georgia,Total crime is 6% higher than Georgia,Household income is 52% lower than Georgia,Home value is 23% lower than Georgia,HS graduation rate is equal to Georgia
25,Fort Myers,https://www.areavibes.com/fort+myers-fl/livability/,70,A+,B-,F,D-,C+,F,A," 71,051"," $160,800",Cost of living is 5% lower than Florida,Total crime is 27% higher than Florida,Household income is 20% lower than Florida,Home value is 4% lower than Florida,HS graduation rate is 9% lower than Florida
26,Boulder,https://www.areavibes.com/boulder-co/livability/,72,A+,F,A,C+,D-,B-,D+," 105,420"," $554,500",Cost of living is 32% higher than Colorado,Total crime is 54% lower than Colorado,Household income is 3% lower than Colorado,Home value is 110% higher than Colorado,HS graduation rate is 9% higher than Colorado
27,Albion,https://www.areavibes.com/albion-mi/livability/,54,B-,A+,F,F,D,F,D-," 8,293"," $56,900",Cost of living is 17% lower than Michigan,Total crime is 123% higher than Michigan,Household income is 44% lower than Michigan,Home value is 55% lower than Michigan,HS graduation rate is 6% lower than Michigan
28,Moorhead,https://www.areavibes.com/moorhead-mn/livability/,74,A+,C,B+,C-,C-,C+,F," 41,321"," $166,000",Cost of living is 6% lower than Minnesota,Total crime is 6% lower than Minnesota,Household income is 12% lower than Minnesota,Home value is 13% lower than Minnesota,HS graduation rate is 3% higher than Minnesota
29,Lincoln,https://www.areavibes.com/lincoln-ne/livability/,80,A+,B-,D,C-,C+,A+,D," 273,018"," $150,200",Cost of living is 4% higher than Nebraska,Total crime is 31% higher than Nebraska,Household income is 6% lower than Nebraska,Home value is 9% higher than Nebraska,HS graduation rate is 2% higher than Nebraska
30,Goshen,https://www.areavibes.com/goshen-in/livability/,75,A+,B-,B-,D-,C-,B-,D," 33,385"," $111,500",Cost of living is 2% higher than Indiana,Total crime is 22% higher than Indiana,Household income is 13% lower than Indiana,Home value is 12% lower than Indiana,HS graduation rate is 14% lower than Indiana
31,Galesburg,https://www.areavibes.com/galesburg-il/livability/,71,A+,A,B-,D-,C+,F,D-," 31,469"," $71,700",Cost of living is 21% lower than Illinois,Total crime is 14% lower than Illinois,Household income is 43% lower than Illinois,Home value is 59% lower than Illinois,HS graduation rate is 8% lower than Illinois
32,Abilene,https://www.areavibes.com/abilene-tx/livability/,83,A+,B+,D-,D+,B+,A-,B," 122,612"," $101,500",Cost of living is 3% lower than Texas,Total crime is 5% lower than Texas,Household income is 19% lower than Texas,Home value is 29% lower than Texas,HS graduation rate is 3% lower than Texas
33,Erie,https://www.areavibes.com/erie-pa/livability/,67,A+,B+,C+,F,F,F,D," 100,157"," $86,700",Cost of living is 14% lower than Pennsylvania,Total crime is 33% higher than Pennsylvania,Household income is 36% lower than Pennsylvania,Home value is 48% lower than Pennsylvania,HS graduation rate is 6% lower than Pennsylvania
34,Denton,https://www.areavibes.com/denton-tx/livability/,84,A+,B,C+,D,B-,A,B," 128,421"," $162,700",Cost of living is 1% higher than Texas,Total crime is 15% lower than Texas,Household income is 8% lower than Texas,Home value is 14% higher than Texas,HS graduation rate is 10% higher than Texas
35,Melbourne,https://www.areavibes.com/melbourne-fl/livability/,75,A+,C+,F,D,B,B-,A," 78,911"," $125,400",Cost of living is 4% lower than Florida,Total crime is 70% higher than Florida,Household income is 16% lower than Florida,Home value is 25% lower than Florida,HS graduation rate is 2% higher than Florida
36,Philadelphia,https://www.areavibes.com/philadelphia-pa/livability/,59,A+,D+,F,F,D+,F,C-," 1,559,938"," $147,300",Cost of living is 5% higher than Pennsylvania,Total crime is 104% higher than Pennsylvania,Household income is 28% lower than Pennsylvania,Home value is 12% lower than Pennsylvania,HS graduation rate is 8% lower than Pennsylvania
37,Garden City,https://www.areavibes.com/garden+city-ny/livability/,76,A+,F,A+,A+,F,A,C-," 22,531"," $783,500",Cost of living is 72% higher than New York,Total crime is 58% lower than New York,Household income is 159% higher than New York,Home value is 174% higher than New York,HS graduation rate is 18% higher than New York
38,Hoboken,https://www.areavibes.com/hoboken-nj/livability/,76,A+,F,B+,A+,A,D+,C-," 53,136"," $621,300",Cost of living is 49% higher than New Jersey,Total crime is 21% higher than New Jersey,Household income is 61% higher than New Jersey,Home value is 96% higher than New Jersey,HS graduation rate is 8% higher than New Jersey
39,Kalamazoo,https://www.areavibes.com/kalamazoo-mi/livability/,65,A+,A,F,F,C+,F,D," 75,885"," $96,600",Cost of living is 10% lower than Michigan,Total crime is 138% higher than Michigan,Household income is 32% lower than Michigan,Home value is 24% lower than Michigan,HS graduation rate is equal to Michigan
40,Georgetown,https://www.areavibes.com/georgetown-tx/livability/,85,A+,C-,A+,C+,D,A+,B-," 59,436"," $222,300",Cost of living is 13% higher than Texas,Total crime is 63% lower than Texas,Household income is 17% higher than Texas,Home value is 56% higher than Texas,HS graduation rate is 15% higher than Texas
41,Norman,https://www.areavibes.com/norman-ok/livability/,81,A+,B-,C+,C-,D,A+,C," 118,974"," $163,900",Cost of living is 7% higher than Oklahoma,Total crime is 10% lower than Oklahoma,Household income is 9% higher than Oklahoma,Home value is 35% higher than Oklahoma,HS graduation rate is 8% higher than Oklahoma
42,Washington,https://www.areavibes.com/washington-dc/livability/,57,A+,F,F,C+,C,F,C," 659,009"," $506,100",Cost of living is equal to District of Columbia,Total crime is 3% lower than District of Columbia,Household income is equal to District of Columbia,Home value is equal to District of Columbia,HS graduation rate is equal to District of Columbia
43,Bronxville,https://www.areavibes.com/bronxville-ny/livability/,75,A+,F,A+,A,F,A+,D+," 6,395"," $995,100",Cost of living is 85% higher than New York,Total crime is 67% lower than New York,Household income is 234% higher than New York,Home value is 248% higher than New York,HS graduation rate is 19% higher than New York
44,Moscow,https://www.areavibes.com/moscow-id/livability/,74,A+,C,B+,F,D,C+,D," 24,855"," $209,700",Cost of living is 5% higher than Idaho,Total crime is 40% higher than Idaho,Household income is 29% lower than Idaho,Home value is 25% higher than Idaho,HS graduation rate is 13% higher than Idaho
45,Morgantown,https://www.areavibes.com/morgantown-wv/livability/,74,A+,C,B+,D-,F,C,C-," 30,364"," $178,500",Cost of living is 10% higher than West Virginia,Total crime is 18% lower than West Virginia,Household income is 17% lower than West Virginia,Home value is 66% higher than West Virginia,HS graduation rate is 11% higher than West Virginia
46,Salt Lake City,https://www.areavibes.com/salt+lake+city-ut/livability/,64,A+,D,F,C-,B-,F,D+," 191,446"," $248,700",Cost of living is 3% higher than Utah,Total crime is 196% higher than Utah,Household income is 19% lower than Utah,Home value is 11% higher than Utah,HS graduation rate is 4% lower than Utah
47,Ames,https://www.areavibes.com/ames-ia/livability/,79,A+,B-,B+,D,F,A+,F," 64,073"," $176,500",Cost of living is 4% higher than Iowa,Total crime is 7% lower than Iowa,Household income is 24% lower than Iowa,Home value is 33% higher than Iowa,HS graduation rate is 9% higher than Iowa
48,Knoxville,https://www.areavibes.com/knoxville-tn/livability/,69,A+,A-,F,D-,D+,C,C+," 183,927"," $120,300",Cost of living is 10% lower than Tennessee,Total crime is 76% higher than Tennessee,Household income is 26% lower than Tennessee,Home value is 18% lower than Tennessee,HS graduation rate is 4% higher than Tennessee
49,Sioux Center,https://www.areavibes.com/sioux+center-ia/livability/,80,B+,C+,A+,B-,F,A+,F," 7,370"," $186,000",Cost of living is 8% higher than Iowa,Total crime is 87% lower than Iowa,Household income is 30% higher than Iowa,Home value is 40% higher than Iowa,HS graduation rate is 2% lower than Iowa
50,Fargo,https://www.areavibes.com/fargo-nd/livability/,75,A+,C+,D,C,A,C+,F," 115,950"," $178,300",Cost of living is 1% higher than North Dakota,Total crime is 43% higher than North Dakota,Household income is 19% lower than North Dakota,Home value is 9% higher than North Dakota,HS graduation rate is 2% higher than North Dakota
51,Kearney,https://www.areavibes.com/kearney-ne/livability/,81,A+,B,C+,C-,C,A+,D-," 32,709"," $159,400",Cost of living is 2% higher than Nebraska,Total crime is 4% higher than Nebraska,Household income is 6% lower than Nebraska,Home value is 16% higher than Nebraska,HS graduation rate is 6% higher than Nebraska
52,West Long Branch,https://www.areavibes.com/west+long+branch-nj/livability/,64,A+,F,A+,B-,F,F,D," 7,947"," $393,900",Cost of living is 24% higher than New Jersey,Total crime is 10% lower than New Jersey,Household income is 16% higher than New Jersey,Home value is 24% higher than New Jersey,HS graduation rate is 3% higher than New Jersey
53,Spokane,https://www.areavibes.com/spokane-wa/livability/,69,A+,B-,F,D,C+,C-,D+," 212,078"," $160,800",Cost of living is 19% lower than Washington,Total crime is 126% higher than Washington,Household income is 31% lower than Washington,Home value is 40% lower than Washington,HS graduation rate is equal to Washington
54,Joliet,https://www.areavibes.com/joliet-il/livability/,71,A+,C,C+,D,B+,F,D-," 147,515"," $163,900",Cost of living is 2% lower than Illinois,Total crime is 13% lower than Illinois,Household income is 4% higher than Illinois,Home value is 6% lower than Illinois,HS graduation rate is 5% lower than Illinois
55,Newark,https://www.areavibes.com/newark-de/livability/,70,A+,F,B-,C,F,C-,C-," 32,941"," $270,700",Cost of living is 7% higher than Delaware,Total crime is 22% lower than Delaware,Household income is 9% lower than Delaware,Home value is 16% higher than Delaware,HS graduation rate is 11% higher than Delaware
56,Buffalo,https://www.areavibes.com/buffalo-ny/livability/,63,A+,A-,F,F,C,F,D-," 258,989"," $72,600",Cost of living is 29% lower than New York,Total crime is 160% higher than New York,Household income is 45% lower than New York,Home value is 75% lower than New York,HS graduation rate is 5% lower than New York
57,Kings Point,https://www.areavibes.com/kings+point-ny/livability/,70,A,F,A+,A+,F,B-,C-," 5,140"," $1,724,800",Cost of living is 217% higher than New York,Total crime is 67% lower than New York,Household income is 116% higher than New York,Home value is 502% higher than New York,HS graduation rate is 10% higher than New York
58,Prescott,https://www.areavibes.com/prescott-az/livability/,72,A+,D,C,C-,D,D+,C+," 41,090"," $283,500",Cost of living is 8% higher than Arizona,Total crime is 28% lower than Arizona,Household income is 6% lower than Arizona,Home value is 60% higher than Arizona,HS graduation rate is 13% higher than Arizona
59,Northampton,https://www.areavibes.com/northampton-ma/livability/,63,A+,F,F,C,F,A,D-," 28,534"," $313,200",Cost of living is 10% lower than Massachusetts,Total crime is 41% higher than Massachusetts,Household income is 13% lower than Massachusetts,Home value is 8% lower than Massachusetts,HS graduation rate is 6% higher than Massachusetts
60,Durham,https://www.areavibes.com/durham-nc/livability/,69,A+,C+,F,C-,B,F,B-," 251,761"," $183,900",Cost of living is 1% higher than North Carolina,Total crime is 59% higher than North Carolina,Household income is 8% higher than North Carolina,Home value is 17% higher than North Carolina,HS graduation rate is 3% higher than North Carolina
61,Tallahassee,https://www.areavibes.com/tallahassee-fl/livability/,65,A+,C,F,F,F,C,B+," 188,466"," $182,200",Cost of living is 1% lower than Florida,Total crime is 94% higher than Florida,Household income is 16% lower than Florida,Home value is 9% higher than Florida,HS graduation rate is 7% higher than Florida
62,Colorado Springs,https://www.areavibes.com/colorado+springs-co/livability/,69,A+,C-,F,C-,B-,F,D," 448,759"," $222,100",Cost of living is 8% lower than Colorado,Total crime is 22% higher than Colorado,Household income is 10% lower than Colorado,Home value is 16% lower than Colorado,HS graduation rate is 3% higher than Colorado
63,Gettysburg,https://www.areavibes.com/gettysburg-pa/livability/,68,A+,D+,D+,D-,F,B,D+," 7,643"," $219,100",Cost of living is 4% higher than Pennsylvania,Total crime is 14% higher than Pennsylvania,Household income is 28% lower than Pennsylvania,Home value is 31% higher than Pennsylvania,HS graduation rate is 7% lower than Pennsylvania
64,Macomb,https://www.areavibes.com/macomb-il/livability/,66,A+,A-,B,F,F,F,D-," 18,771"," $105,900",Cost of living is 17% lower than Illinois,Total crime is 29% lower than Illinois,Household income is 40% lower than Illinois,Home value is 39% lower than Illinois,HS graduation rate is 7% higher than Illinois
65,Crookston,https://www.areavibes.com/crookston-mn/livability/,66,B,B,B-,D+,B-,F,F," 7,814"," $99,700",Cost of living is 15% lower than Minnesota,Total crime is 2% lower than Minnesota,Household income is 22% lower than Minnesota,Home value is 48% lower than Minnesota,HS graduation rate is 7% lower than Minnesota
66,Greenville,https://www.areavibes.com/greenville-sc/livability/,73,A+,D,F,D+,C+,B-,B-," 62,776"," $237,800",Cost of living is 10% higher than South Carolina,Total crime is 27% higher than South Carolina,Household income is 3% lower than South Carolina,Home value is 66% higher than South Carolina,HS graduation rate is 5% higher than South Carolina
67,Fullerton,https://www.areavibes.com/fullerton-ca/livability/,72,A+,F,B-,C-,D+,C-,A+," 139,491"," $551,300",Cost of living is 12% higher than California,Total crime is 2% higher than California,Household income is 5% higher than California,Home value is 35% higher than California,HS graduation rate is 7% higher than California
68,Danville,https://www.areavibes.com/danville-ky/livability/,75,A+,B,A,D,F,C,C-," 16,645"," $138,600",Cost of living is 1% higher than Kentucky,Total crime is 31% lower than Kentucky,Household income is 17% lower than Kentucky,Home value is 10% higher than Kentucky,HS graduation rate is 5% higher than Kentucky
69,Hartford,https://www.areavibes.com/hartford-ct/livability/,48,A+,D+,F,F,F,F,D+," 124,320"," $159,100",Cost of living is 13% lower than Connecticut,Total crime is 155% higher than Connecticut,Household income is 55% lower than Connecticut,Home value is 41% lower than Connecticut,HS graduation rate is 23% lower than Connecticut
70,Wooster,https://www.areavibes.com/wooster-oh/livability/,76,A+,A-,D,D+,F,A+,D-," 26,773"," $126,300",Cost of living is 6% lower than Ohio,Total crime is 38% higher than Ohio,Household income is 18% lower than Ohio,Home value is 4% lower than Ohio,HS graduation rate is 1% lower than Ohio
71,Rockville Centre,https://www.areavibes.com/rockville+centre-ny/livability/,75,A+,F,A+,A-,F,A+,C-," 24,262"," $608,600",Cost of living is 52% higher than New York,Total crime is 58% lower than New York,Household income is 69% higher than New York,Home value is 113% higher than New York,HS graduation rate is 15% higher than New York
72,Normal,https://www.areavibes.com/normal-il/livability/,67,A+,C,B+,C-,F,F,D," 54,534"," $163,100",Cost of living is equal to Illinois,Total crime is 13% lower than Illinois,Household income is 8% lower than Illinois,Home value is 7% lower than Illinois,HS graduation rate is 10% higher than Illinois
73,Jacksonville,https://www.areavibes.com/jacksonville-fl/livability/,75,A+,B-,F,D,B+,D-,A-," 856,616"," $140,000",Cost of living is 7% lower than Florida,Total crime is 42% higher than Florida,Household income is 1% lower than Florida,Home value is 16% lower than Florida,HS graduation rate is 1% higher than Florida
74,Caldwell,https://www.areavibes.com/caldwell-id/livability/,73,A+,B+,B,F,A-,F,D+," 50,288"," $113,000",Cost of living is 8% lower than Idaho,Total crime is 19% higher than Idaho,Household income is 13% lower than Idaho,Home value is 33% lower than Idaho,HS graduation rate is 13% lower than Idaho
75,Hamilton,https://www.areavibes.com/hamilton-ny/livability/,72,A,D,B,C,F,A,F," 4,020"," $233,800",Cost of living is 11% lower than New York,Total crime is 16% lower than New York,Household income is 4% higher than New York,Home value is 18% lower than New York,HS graduation rate is 11% higher than New York
76,Stockton,https://www.areavibes.com/stockton-ca/livability/,60,A+,D-,F,F,C-,F,B+," 301,443"," $191,000",Cost of living is 22% lower than California,Total crime is 71% higher than California,Household income is 28% lower than California,Home value is 53% lower than California,HS graduation rate is 11% lower than California
77,Los Angeles,https://www.areavibes.com/los+angeles-ca/livability/,59,A+,F,F,D,D,F,A+," 3,918,872"," $496,300",Cost of living is 6% higher than California,Total crime is 12% higher than California,Household income is 19% lower than California,Home value is 21% higher than California,HS graduation rate is 7% lower than California
78,Sioux Falls,https://www.areavibes.com/sioux+falls-sd/livability/,73,A+,B-,D-,C,C+,C-,F," 167,884"," $161,500",Cost of living is 3% higher than South Dakota,Total crime is 43% higher than South Dakota,Household income is 4% higher than South Dakota,Home value is 10% higher than South Dakota,HS graduation rate is equal to South Dakota
79,Fort Worth,https://www.areavibes.com/fort+worth-tx/livability/,81,A+,C+,F,D+,A,B+,B," 815,930"," $131,100",Cost of living is 6% higher than Texas,Total crime is 26% higher than Texas,Household income is equal to Texas,Home value is 8% lower than Texas,HS graduation rate is 1% lower than Texas
80,St. Petersburg,https://www.areavibes.com/st.+petersburg-fl/livability/,72,A+,C,F,D+,C-,D+,A," 253,585"," $154,800",Cost of living is 1% lower than Florida,Total crime is 72% higher than Florida,Household income is 1% lower than Florida,Home value is 7% lower than Florida,HS graduation rate is 3% higher than Florida
81,Clinton,https://www.areavibes.com/clinton-ny/livability/,74,B-,C-,A+,B-,F,A+,F," 1,967"," $183,200",Cost of living is 16% lower than New York,Total crime is 61% lower than New York,Household income is 14% lower than New York,Home value is 36% lower than New York,HS graduation rate is 14% higher than New York
82,Corvallis,https://www.areavibes.com/corvallis-or/livability/,75,A+,F,B+,D,D,A,C," 55,766"," $276,900",Cost of living is 3% higher than Oregon,Total crime is 19% lower than Oregon,Household income is 18% lower than Oregon,Home value is 12% higher than Oregon,HS graduation rate is 10% higher than Oregon
83,Columbia,https://www.areavibes.com/columbia-mo/livability/,67,A+,C+,F,C-,F,D+,C-," 117,165"," $178,600",Cost of living is 6% higher than Missouri,Total crime is 2% higher than Missouri,Household income is 9% lower than Missouri,Home value is 26% higher than Missouri,HS graduation rate is 8% higher than Missouri
84,Indianapolis,https://www.areavibes.com/indianapolis-in/livability/,70,A+,B,F,D-,B+,C,D+," 846,674"," $120,400",Cost of living is equal to Indiana,Total crime is 104% higher than Indiana,Household income is 15% lower than Indiana,Home value is 5% lower than Indiana,HS graduation rate is 3% lower than Indiana
85,Logan,https://www.areavibes.com/logan-ut/livability/,71,A+,C+,A+,D-,F,D,D-," 49,539"," $164,000",Cost of living is 8% lower than Utah,Total crime is 53% lower than Utah,Household income is 42% lower than Utah,Home value is 27% lower than Utah,HS graduation rate is 2% lower than Utah
86,Fayetteville,https://www.areavibes.com/fayetteville-ar/livability/,69,A+,C+,F,D+,D,C,C," 80,552"," $186,200",Cost of living is 12% higher than Arkansas,Total crime is 47% higher than Arkansas,Household income is 5% lower than Arkansas,Home value is 62% higher than Arkansas,HS graduation rate is 12% higher than Arkansas
87,Bloomington,https://www.areavibes.com/bloomington-il/livability/,64,A-,C,C-,C+,F,F,D," 78,368"," $164,100",Cost of living is 1% lower than Illinois,Total crime is 12% lower than Illinois,Household income is 7% higher than Illinois,Home value is 6% lower than Illinois,HS graduation rate is 8% higher than Illinois
88,Pullman,https://www.areavibes.com/pullman-wa/livability/,75,A+,C-,A+,F,F,A,D," 32,176"," $233,000",Cost of living is 12% lower than Washington,Total crime is 54% lower than Washington,Household income is 56% lower than Washington,Home value is 13% lower than Washington,HS graduation rate is 11% higher than Washington
89,Huntingdon,https://www.areavibes.com/huntingdon-pa/livability/,66,A+,B,D+,D-,F,D-,D," 7,042"," $111,100",Cost of living is 10% lower than Pennsylvania,Total crime is 20% lower than Pennsylvania,Household income is 28% lower than Pennsylvania,Home value is 34% lower than Pennsylvania,HS graduation rate is equal to Pennsylvania
90,Florence,https://www.areavibes.com/florence-al/livability/,68,A+,B+,F,D,F,D-,B-," 39,938"," $126,000",Cost of living is 3% lower than Alabama,Total crime is 36% higher than Alabama,Household income is 17% lower than Alabama,Home value is 2% lower than Alabama,HS graduation rate is equal to Alabama
91,Towson,https://www.areavibes.com/towson-md/livability/,69,A+,F,D-,B,F,B,C," 58,189"," $334,500",Cost of living is 4% higher than Maryland,Total crime is equal to Maryland,Household income is 2% higher than Maryland,Home value is 15% higher than Maryland,HS graduation rate is 9% higher than Maryland
92,Wilkes,https://www.areavibes.com/wilkes-barre-pa/livability/,58,A+,B+,F,F,F,F,D," 40,964"," $76,700",,,,,
93,Hanover,https://www.areavibes.com/hanover-nh/livability/,79,A+,F,A+,B+,B-,A+,F," 8,482"," $469,300",Cost of living is 25% higher than New Hampshire,Total crime is 30% lower than New Hampshire,Household income is 41% higher than New Hampshire,Home value is 96% higher than New Hampshire,HS graduation rate is 10% higher than New Hampshire
94,Ada,https://www.areavibes.com/ada-oh/livability/,78,C,A-,A+,D-,D-,A+,D," 6,046"," $83,500",Cost of living is 6% lower than Ohio,Total crime is 79% lower than Ohio,Household income is 31% lower than Ohio,Home value is 37% lower than Ohio,HS graduation rate is equal to Ohio
95,Davidson,https://www.areavibes.com/davidson-nc/livability/,83,A+,F,A+,A-,D+,A+,C," 12,076"," $393,300",Cost of living is 32% higher than North Carolina,Total crime is 56% lower than North Carolina,Household income is 128% higher than North Carolina,Home value is 150% higher than North Carolina,HS graduation rate is 19% higher than North Carolina
96,Clinton,https://www.areavibes.com/clinton-ms/livability/,76,B+,B-,B-,C,C,D,B," 25,411"," $155,800",Cost of living is 12% higher than Mississippi,Total crime is 25% lower than Mississippi,Household income is 45% higher than Mississippi,Home value is 47% higher than Mississippi,HS graduation rate is 15% higher than Mississippi
